"Largura Altura",600-700,701-800,801-900,901-1000,1001-1100,1101-1200,1201-1300,1301-1400,1401-1500,1501-1600
600-700,"95,36","100,77","120,28","123,53","127,86","135,45","141,95","147,37","153,87","163,62"
701-800,"100,77","108,36","127,86","11,92","137,62","145,2","151,7","158,21","165,79","175,54"
801-900,"108,36","115,95","136,53","138,7","146,29","153,87","162,54","169,04","176,63","187,46"
901-1000,"115,95","124,61","146,29","148,45","157,12","165,79","173,38","182,04","190,71","204,8"
1001-1100,"122,45","132,2","154,95","157,12","165,79","174,46","184,21","193,96","201,55","216,72"
1101-1200,"128,95","137,62","162,54","165,79","174,46","184,21","193,96","203,72","212,39","230,81"
1201-1300,"135,45","145,2","171,21","173,38","183,13","193,96","203,72","213,47","224,31","241,64"
1301-1400,"143,04","152,79","178,79","182,04","192,88","203,72","214,55","224,31","235,14","253,56"
1401-1500,"148,45","159,29","186,38","190,71","201,55","213,47","224,31","235,14","247,06",
1501-1600,"154,95","166,87","193,96","198,3","211,3","222,14","235,14","245,98",,
1601-1700,"161,46","174,46","202,63","206,97","219,97","232,97","243,81",,,
1701-1800,"169,04","183,13","212,39","216,72","230,81","240,56",,,,
1801-1900,"184,21","198,3","225,39","230,81",,,,,,
